Structure [idcode]	pKa	temp	method	type	group	basicOrAcidic	Row-ID	Neighbor Similarity OrgFunctions 96%	Neighbor Count	Neighbor	Neighbor Analysis X	Neighbor Analysis Y	t-SNE X	t-SNE Y	t-SNE Z	InChIKey	Total Molweight	Molweight	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Relative PSA	Polar Surface Area	Druglikeness	LE from pKa	LLE from pKa	LELP from pKa	Mutagenic	Tumorigenic	Reproductive Effective	Irritant	Nasty Functions	Shape Index	Molecular Flexibility	Molecular Complexity	Fragments	Non-H Atoms	Non-C/H Atoms	Metal-Atoms	Electronegative Atoms	Stereo Centers	Rotatable Bonds	Rings Closures	Small Rings	Aromatic Rings	Aromatic Atoms	sp3-Atoms	Symmetric atoms	Amides	Amines	Alkyl-Amines	Aromatic Amines	Aromatic Nitrogens	Basic Nitrogens	Acidic Oxygens	Stereo Configuration	Gini Selectivity Score	
daDD@@IIf]n``@@@	9.33	27	mean from 15	a1/apparent		acidic	11	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	12	2782; 2781; 2768; 2767; 2764; 533; 531; 19; 18; 17; 15; 14	0.40011907	-0.57888037	3.046092825276287	15.971993856486062	-16.332003945689827	YCIMNLLNPGFGHC-UHFFFAOYSA-N	110.112	110.112	110.036780	0.9682	-1.024	2	2	85.96	0.30479	40.46	-2.2721	1.377	7.0619	0.7031	high	high	high	none		0.625	0	0.59947	1	8	2	0	2	0	0	1	1	1	6	2	4	0	0	0	0	0	0	0		0.94598	
daDD@@QInUnZjh@@	4.99	25	potentiometric	a/thermodynamic		acidic	12	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	31	7767; 7609; 7608; 7603; 7491; 7333; 7329; 7228; 6032; 5455; 4167; 3724; 2771; 2715; 2575; 2570; 2276; 1947; 1944; 1836; 1389; 1382; 1381; 1377; 1297; 518; 356; 355; 354; 350; 343	-0.38778347	0.46832898	-23.944824204388066	4.832095434369697	-0.09786726869162353	JBDSSBMEKXHSJF-UHFFFAOYSA-N	114.143	114.143	114.068080	0.703	-1.515	2	1	91.64	0.28525	37.3	-4.0737	1.4237	7.5989	0.4938	none	none	none	none		0.625	0.52603	0.59947	1	8	2	0	2	0	1	1	1	0	0	6	2	0	0	0	0	0	0	1		0.96987	
daDD@@YIeZnZih@@	5.26	25	potentiometric	apparent		acidic	13	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	19	7768; 7611; 4180; 4060; 4059; 3255; 3185; 2765; 2583; 2581; 2580; 1842; 1841; 1835; 1396; 1390; 948; 358; 357	0.47655812	-0.14544661	-7.584145464152519	15.6769497072395	-2.511141770185166	HJSLFCCWAKVHIW-UHFFFAOYSA-N	112.128	112.128	112.052430	0.6352	-1.454	2	0	90.54	0.28805	34.14	-12.991	1.4197	7.6438	0.44741	none	none	none	none		0.625	0.21074	0.59947	1	8	2	0	2	0	0	1	1	0	0	4	3	0	0	0	0	0	0	0		0.96645	
daDD@@YIeZn`B@@@	9.56	23	mean from 6	b2/apparent		acidic	14	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	12	2782; 2781; 2768; 2767; 2764; 533; 531; 19; 18; 11; 17; 15	0.39240453	-0.5407735	0.7929244502484246	15.778705602777444	-15.166715886047625	GHMLBKRAJCXXBS-UHFFFAOYSA-N	110.112	110.112	110.036780	0.9682	-1.024	2	2	85.96	0.30479	40.46	-2.2721	1.3752	7.0513	0.70403	high	high	none	high		0.625	0	0.59947	1	8	2	0	2	0	0	1	1	1	6	2	3	0	0	0	0	0	0	0		0.94539	
daDD@@yIe^f`@`@@	9.93	23	mean from 6	a1/apparent		acidic	15	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	12	2782; 2781; 2768; 2767; 2764; 533; 531; 19; 18; 11; 17; 14	0.42749703	-0.527683	0.6300227278839533	17.05166864586405	-13.70126839623528	QIGBRXMKCJKVMJ-UHFFFAOYSA-N	110.112	110.112	110.036780	0.9682	-1.024	2	2	85.96	0.30479	40.46	-2.2721	1.3724	7.0349	0.70548	high	high	high	high		0.75	0	0.59947	1	8	2	0	2	0	0	1	1	1	6	2	5	0	0	0	0	0	0	0		0.94284	
daDD@@yIfVfZjX@@	5.83	20	potentiometric	a/apparent		acidic	16	1	1	2777	0.29729572	-0.9075912	-17.60111017340456	0.3225771136263352	-17.31141698414953	ZAIBWUAGAZIQMM-UHFFFAOYSA-N	112.128	112.128	112.052430	0.1319	-1.4	2	0	91.07	0.28637	34.14	-7.64	1.4121	8.1024	0.093409	none	none	low	high		0.625	0.33362	0.65976	1	8	2	0	2	1	1	1	1	0	0	4	0	0	0	0	0	0	0	0	unknown chirality	0.98163	
daDDB@HnRYg[hH@@@	11.56	27	mean from 10	a2/apparent		acidic	17	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	12	2782; 2781; 2768; 2767; 2764; 533; 531; 19; 18; 11; 14; 15	0.3793827	-0.5776682	3.0473631985532346	15.978643970889827	-16.34459403731957	YCIMNLLNPGFGHC-UHFFFAOYSA-M	109.104	109.104	109.028955	-0.6098	-1.024	2	1	87.14	0.31421	43.29	-2.17	1.3611	8.5468	-0.44803	none	none	none	none		0.625	0	0.64124	1	8	2	0	2	0	0	1	1	1	6	2	0	0	0	0	0	0	0	0		0.94814	
daDDB@YnRYVkh@`@@	11.32	30	potentiometric	1/thermodynamic		acidic	18	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	12	2782; 2781; 2768; 2767; 2764; 533; 531; 11; 19; 14; 15; 17	0.39303318	-0.5598445	0.7942234987336065	15.763998144416014	-15.157441896895026	GHMLBKRAJCXXBS-UHFFFAOYSA-M	109.104	109.104	109.028955	-0.6098	-1.024	2	1	87.14	0.31421	43.29	-2.17	1.3626	8.556	-0.44751	none	none	none	none		0.625	0	0.62123	1	8	2	0	2	0	0	1	1	1	6	2	0	0	0	0	0	0	0	0		0.94761	
daDDB@{nRYWih@H@@	11.57	24	mean from 4	1/apparent		acidic	19	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	12	2782; 2781; 2768; 2767; 2764; 533; 531; 11; 14; 15; 17; 18	0.43729052	-0.56749123	0.6299923864734832	17.031457410735097	-13.692723282852493	QIGBRXMKCJKVMJ-UHFFFAOYSA-M	109.104	109.104	109.028955	-0.6098	-1.024	2	1	87.14	0.31421	43.29	-2.17	1.361	8.5465	-0.44805	none	none	none	none		0.75	0	0.59947	1	8	2	0	2	0	0	1	1	1	6	2	2	0	0	0	0	0	0	0		0.94468	
daDDPFxHaHaIk{Bjih@@	3.51	23	potentiometric	a/apparent		acidic	20		0		-0.9475834	-0.17022996	-19.438666403007105	7.603925040936924	-2.221810539515631	GVGFEJPTKINGLP-UHFFFAOYSA-N	154.980	154.980	153.958834	0.8681	-1.855	2	1	91.61	0.28534	37.3	-1.0373	1.4499	7.5866	0.59875	high	low	high	high		0.625	0.44314	0.78387	1	8	4	0	4	1	1	1	1	0	0	4	1	0	0	0	0	0	0	1	unknown chirality	0.94454	
daDDPFxLQLQIk{Bjih@@	3.57	24	potentiometric	a/apparent		acidic	21		0		-0.9526134	0.13568021	-19.428652704104852	7.612755915426457	-2.2348141360581897	ZZQWHIVRLNQEDZ-UHFFFAOYSA-N	243.882	243.882	241.857802	1.1301	-2.139	2	1	98.03	0.26665	37.3	-7.5813	1.4486	7.3172	0.78014	high	high	high	high	sec./tert. alkyl-bromide/iodide	0.625	0.44314	0.78387	1	8	4	0	4	1	1	1	1	0	0	4	1	0	0	0	0	0	0	1	unknown chirality	0.95353	
daDD`BxHaIf^fjZX@@	7.05			a/apparent		acidic	22		0		-0.84936094	0.12566052	-8.344549417555044	16.14412820630912	-1.100063271275978	SNAOXHWORPTDTJ-UHFFFAOYSA-N	132.546	132.546	131.997807	0.5782	-1.511	2	0	90.94	0.28678	34.14	-7.608	1.3979	7.5736	0.41362	none	none	none	none		0.625	0	0.73611	1	8	3	0	3	1	0	1	1	0	0	3	0	0	0	0	0	0	0	0	unknown chirality	0.93019	
daDD`Fx@aJU{BiYh@@	4.03	23	mean from 4	a1/apparent	COOH	acidic	23	1; 1; 1; 1; 1; 1; 1	7	4195; 2800; 2798; 2797; 2791; 1404; 24	-0.060209464	0.5520791	-13.087266555635175	-0.34246005500458365	-12.256285918993242	YNVOMSDITJMNET-UHFFFAOYSA-N	128.151	128.151	127.993200	0.9291	-1.529	2	1	93.3	0.49839	65.54	0.52987	1.4396	7.4656	0.6454	none	none	none	none		0.625	0.46471	0.69315	1	8	3	0	3	0	1	1	1	1	5	1	0	0	0	0	0	0	0	1		0.9633	
daDD`Fx@aJYXjjUh@@	3.46	22	mean from 7	a1/apparent	COOH	acidic	24	1; 1; 1; 1; 1; 1; 1	7	4195; 2800; 2798; 2797; 2791; 1404; 23	-0.014445074	0.57835436	-15.330678998477064	-10.294903021679604	-7.443229753787026	QERYCTSHXKAMIS-UHFFFAOYSA-N	128.151	128.151	127.993200	1.0113	-1.639	2	1	93.3	0.49839	65.54	2.0108	1.4509	7.4496	0.69701	none	none	none	none		0.625	0.38718	0.69315	1	8	3	0	3	0	1	1	1	1	5	1	0	0	0	0	0	0	0	1		0.96753	
daDD`FxDQJYXjjUh@@	3.43	25		a1/thermodynamic		acidic	25		0		-0.7347769	0.6631891	-15.35436460896181	-10.26939990801309	-7.46207764410747	WAQBFLCVNNZBQR-UHFFFAOYSA-N	175.045	175.045	175.937650	0.6963	0.027	2	1	72.94	0.35838	37.3	-3.8225	1.4516	7.7684	0.47969	none	none	none	none	unwanted atom	0.625	0.46471	0.69315	1	8	3	0	3	0	1	1	1	1	5	1	0	0	0	0	0	0	0	1		0.98314	
daDD`HPOCIIBdwMUT@@	2.73	25	potentiometric	a/apparent		acidic	26	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	13	7769; 7620; 7498; 7274; 6957; 4593; 4066; 4065; 4064; 3189; 3188; 2587; 2586	-0.37554437	-0.419646	-4.6687545299005615	2.711807339178858	9.77780661427846	NNCQZOVCNZHBKO-UHFFFAOYSA-N	134.114	134.114	134.049667	-1.0436	0.212	2	1	98.92	0.30449	47.11	-21.847	1.4686	9.6074	-0.71062	none	none	none	none		0.625	0.30843	0.59947	1	8	3	0	3	0	0	1	1	0	0	7	2	0	0	0	0	0	0	1		0.97037	
daDD`Jx@aJUdfjfX@@	4.34		potentiometric	a/apparent		acidic	27		0		0.9352804	-0.12896468	-7.07605686070677	14.775808610534032	-0.20881350411020866	VDHPFHUCOPGRLS-UHFFFAOYSA-N	130.167	130.167	130.008850	-0.1219	-1.251	2	0	94.27	0.46218	59.44	-5.2532	1.434	8.4844	-0.085004	none	none	none	none		0.625	0.26369	0.62123	1	8	3	0	3	0	0	1	1	0	0	4	3	0	0	0	0	0	0	0		0.90597	
daDH@@RYVih@H@@	10.01	22	mean from 12	a1/thermodynamic	OH	acidic	30	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	37	7777; 7776; 4840; 4621; 4232; 4231; 4230; 4228; 4227; 4226; 3746; 3744; 3502; 3501; 2812; 2809; 2808; 2807; 2805; 2804; 1954; 1953; 1441; 1440; 1439; 1437; 569; 568; 567; 566; 565; 564; 563; 562; 561; 32; 31	-0.13675527	0.41525793	0.8577854871746347	14.62971543219055	-14.958834924896964	RLSSMJSEOOYNOY-UHFFFAOYSA-N	108.140	108.140	108.057515	1.6578	-1.664	1	1	91.87	0.14259	20.23	-2.315	1.3718	6.3418	1.2085	high	high	high	high		0.625	0	0.62123	1	8	1	0	1	0	0	1	1	1	6	2	0	0	0	0	0	0	0	0		0.95943	
daDH@@RYWih@H@@	10.22	22	mean from 13	a1/thermodynamic	OH	acidic	31	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	37	7777; 7776; 4840; 4621; 4232; 4231; 4230; 4228; 4227; 4226; 3746; 3744; 3502; 3501; 2812; 2809; 2808; 2807; 2805; 2804; 1954; 1953; 1441; 1440; 1439; 1437; 569; 568; 567; 566; 565; 564; 563; 562; 561; 32; 30	-0.17445563	0.48282385	2.134755328885359	13.834340123883512	-12.775446466737051	IWDCLRJOBJJRNH-UHFFFAOYSA-N	108.140	108.140	108.057515	1.6578	-1.664	1	1	91.87	0.14259	20.23	-2.315	1.3703	6.3327	1.2098	high	high	none	high		0.75	0	0.59947	1	8	1	0	1	0	0	1	1	1	6	2	2	0	0	0	0	0	0	0		0.95717	
daDH@@RYe[hB@@@	10.22	22	mean from 11	a1/thermodynamic	OH	acidic	32	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	37	7777; 7776; 4840; 4621; 4232; 4231; 4230; 4228; 4227; 4226; 3746; 3744; 3502; 3501; 2812; 2809; 2808; 2807; 2805; 2804; 1954; 1953; 1441; 1440; 1439; 1437; 569; 568; 567; 566; 565; 564; 563; 562; 561; 30; 31	-0.19322647	0.50625515	4.900364256269703	14.441114850579316	-15.672922893993185	QWVGKYWNOKOFNN-UHFFFAOYSA-N	108.140	108.140	108.057515	1.6578	-1.664	1	1	91.87	0.14259	20.23	-2.315	1.3703	6.3327	1.2098	high	high	high	high		0.625	0	0.64124	1	8	1	0	1	0	0	1	1	1	6	2	0	0	0	0	0	0	0	0		0.95897	
daDH@@RYm[ffi@@	8.84	30	spectrophotometric	a1/apparent		acidic	33		0		0.82223004	0.22868346	-6.11409049781888	13.586785031475221	-4.023455584720429	XRPKZMVAXPQSCL-UHFFFAOYSA-N	108.140	108.140	108.057515	1.0008	-1.47	1	0	94.98	0.13729	17.07	-0.71682	1.3811	7.0527	0.72466	high	low	high	none		0.625	0.31671	0.7083	1	8	1	0	1	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0		0.90782	
daDH`BBHRYg[hH@@@	8.4	24	mean from 6	b1/apparent		acidic	34	1; 1; 1; 1; 1; 1; 1	7	4233; 2825; 2823; 2822; 575; 41; 38	-0.24582744	-0.41901422	-7.2103049630722875	17.517396424296567	-17.37336610222787	ISPYQTSUDJAMAB-UHFFFAOYSA-N	128.558	128.558	128.002892	1.9199	-2.056	1	1	95.03	0.13785	20.23	-2.05	1.3849	6.1558	1.3863	none	none	none	none		0.625	0	0.64124	1	8	2	0	2	0	0	1	1	1	6	1	0	0	0	0	0	0	0	0		0.96295	
daDH`BBPRYg[hH@@@	8.81	25	potentiometric	a1/apparent		acidic	35	1	1	42	-0.3299654	0.23201244	3.0371353375344454	16.003694421236055	-16.292480301213285	HFHFGHLXUCOHLN-UHFFFAOYSA-N	112.103	112.103	112.032443	1.4147	-1.634	1	1	85.96	0.1524	20.23	-3.6121	1.3813	6.6403	1.0242	none	none	none	none		0.625	0	0.64124	1	8	2	0	2	0	0	1	1	1	6	1	0	0	0	0	0	0	0	0		0.91521	
daDH`BBlRYg[hH@@@	8.4	25	mean from 3	thermodynamic		acidic	36	1; 1	2	43; 39	0.7360925	-0.015826283	2.996935717780191	15.97808006321193	-16.39840780734373	KQDJTBPASNJQFQ-UHFFFAOYSA-N	220.005	220.005	219.938513	1.751	-2.336	1	1	105.89	0.12371	20.23	-0.95319	1.3849	6.3247	1.2644	none	none	none	none		0.625	0	0.64124	1	8	2	0	2	0	0	1	1	1	6	1	0	0	0	0	0	0	0	0		0.91547	
daDH`BCDRYg[hH@@@	8.4	25	mean from 5	a1/apparent	OH	acidic	37	1; 1	2	44; 40	-0.26034608	0.5966709	2.99732390645621	15.969671373780738	-16.408857877464445	VADKRMSMGWJZCF-UHFFFAOYSA-N	173.009	173.009	171.952376	2.0391	-2.154	1	1	98.24	0.13335	20.23	-4.0621	1.3849	6.0366	1.4724	none	none	high	none		0.625	0	0.64124	1	8	2	0	2	0	0	1	1	1	6	1	0	0	0	0	0	0	0	0		0.91953	
daDH`FBHRYVkh@`@@	8.96	25	mean from 7	a1/apparent		acidic	38	1; 1; 1; 1; 1; 1; 1	7	4233; 2825; 2823; 2822; 575; 34; 41	-0.21451277	-0.37375304	-7.077661587606601	17.7314653678563	-17.391638318495247	HORNXRXVQWOLPJ-UHFFFAOYSA-N	128.558	128.558	128.002892	1.9199	-2.056	1	1	95.03	0.13785	20.23	-2.05	1.3801	6.1278	1.3912	none	none	none	none		0.625	0	0.62123	1	8	2	0	2	0	0	1	1	1	6	1	0	0	0	0	0	0	0	0		0.96241	
daDH`FBlRYVkh@`@@	9.02	25	mean from 2	thermodynamic		acidic	39	1; 1	2	43; 36	0.74111545	0.0058197365	0.8060043248456406	15.91915273692634	-15.234574689915368	FXTKWBZFNQHAAO-UHFFFAOYSA-N	220.005	220.005	219.938513	1.751	-2.336	1	1	105.89	0.12371	20.23	-0.95319	1.3796	6.2938	1.2692	none	none	none	none		0.625	0	0.62123	1	8	2	0	2	0	0	1	1	1	6	1	0	0	0	0	0	0	0	0		0.91396	
daDH`FCDRYVkh@`@@	8.99	25	mean from 3	thermodynamic		acidic	40	1; 1	2	44; 37	-0.25343394	0.6167814	0.8059474979451294	15.89311017738064	-15.231021386524368	MNOJRWOWILAHAV-UHFFFAOYSA-N	173.009	173.009	171.952376	2.0391	-2.154	1	1	98.24	0.13335	20.23	-4.0621	1.3798	6.0071	1.4778	none	none	none	none		0.625	0	0.62123	1	8	2	0	2	0	0	1	1	1	6	1	0	0	0	0	0	0	0	0		0.91774	
daDH`NBHRYWih@H@@	9.29	24	mean from 14	a1/apparent		acidic	41	1; 1; 1; 1; 1; 1; 1	7	4233; 2825; 2823; 2822; 575; 34; 38	-0.22604506	-0.4288318	-6.986431925949992	17.776726280769108	-17.27630182274181	WXNZTHHGJRFXKQ-UHFFFAOYSA-N	128.558	128.558	128.002892	1.9199	-2.056	1	1	95.03	0.13785	20.23	-2.05	1.3774	6.1121	1.3939	none	none	none	none		0.75	0	0.59947	1	8	2	0	2	0	0	1	1	1	6	1	2	0	0	0	0	0	0	0		0.96123	
daDH`NBPRYWih@H@@	9.88	25	mean from 3	a1/apparent		acidic	42	1	1	35	-0.2907432	0.23218842	0.645157957061377	17.02370836949034	-13.747502872139629	RHMPLDJJXGPMEX-UHFFFAOYSA-N	112.103	112.103	112.032443	1.4147	-1.634	1	1	85.96	0.1524	20.23	-3.6121	1.3728	6.5905	1.0305	none	high	high	none		0.75	0	0.59947	1	8	2	0	2	0	0	1	1	1	6	1	2	0	0	0	0	0	0	0		0.90502	
daDH`NBlRYWih@H@@	9.32	25	mean from 3	a1/apparent		acidic	43	1; 1	2	36; 39	0.7219562	0.0031893444	0.677366706971694	16.97701030261166	-13.887563567374283	VSMDINRNYYEDRN-UHFFFAOYSA-N	220.005	220.005	219.938513	1.751	-2.336	1	1	105.89	0.12371	20.23	-0.95319	1.3771	6.2796	1.2715	none	high	none	none		0.75	0	0.59947	1	8	2	0	2	0	0	1	1	1	6	1	2	0	0	0	0	0	0	0		0.90877	
daDH`NCDRYWih@H@@	9.29	25	mean from 7	a1/apparent	OH	acidic	44	1; 1	2	37; 40	-0.23904899	0.6032177	0.6774620377425778	16.95468473374565	-13.878883602446782	GZFGOTFRPZRKDS-UHFFFAOYSA-N	173.009	173.009	171.952376	2.0391	-2.154	1	1	98.24	0.13335	20.23	-4.0621	1.3774	5.9929	1.4804	none	high	high	none		0.75	0	0.59947	1	8	2	0	2	0	0	1	1	1	6	1	2	0	0	0	0	0	0	0		0.91142	
daDL@@IdfYjyif`@	8.48	20	potentiometric	a/apparent		acidic	45		0		-0.78432184	-0.6077486	-7.517522516025325	15.633117135916294	-2.617390623655159	IONFSDQYBFORDJ-UHFFFAOYSA-N	112.084	112.084	112.016045	-0.4152	-0.836	3	0	80.77	0.48434	51.21	-8.1677	1.3842	8.4868	-0.29997	none	none	none	none		0.625	0	0.64124	1	8	3	0	3	0	0	1	1	0	0	2	3	0	0	0	0	0	0	0		0.92429	
daDL@@KdfYzYjZ`@	4.8	20	potentiometric	1/apparent		acidic	46	1	1	55	-0.7941128	-0.03266305	-16.245245690103832	-0.6475429404505014	-8.830135695346728	CRTGSPPMTACQBL-UHFFFAOYSA-N	114.100	114.100	114.031695	-0.2734	-1.166	3	2	80.89	0.4851	57.53	-0.83184	1.4265	8.5922	-0.19165	none	none	none	none		0.625	0	0.77276	1	8	3	0	3	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0		0.9395	
daDL@@KlbbbMLttp@@	3.0			a/apparent		acidic	47		0		-0.83230096	0.32985485	-7.516909441897413	15.639115568623506	-2.615853509101519	PLIKDTHMOISVIW-UHFFFAOYSA-N	112.084	112.084	112.016045	-0.4152	-0.836	3	0	80.77	0.48434	51.21	-12.144	1.4615	8.9381	-0.28408	none	none	none	none		0.625	0	0.69315	1	8	3	0	3	0	0	1	1	0	0	2	3	0	0	0	0	0	0	0		0.93829	
daDL@@PdfyVyjZP@	3.18	22	mean from 7	a1/apparent	COOH	acidic	48	1; 1; 1; 1; 1; 1	6	2837; 1473; 1469; 52; 51; 49	0.85946715	0.07310999	-15.762789971061062	-9.85109626534105	-8.366863480433896	SMNDYUVBFMFKNZ-UHFFFAOYSA-N	112.084	112.084	112.016045	0.3334	-1.311	3	1	87.05	0.46238	50.44	-1.1431	1.4572	8.1642	0.22879	high	none	none	none		0.625	0.3453	0.7083	1	8	3	0	3	0	1	1	1	1	5	1	0	0	0	0	0	0	0	1		0.96206	
